trial,time_ux,timestamp,target,stimulus,is_target
0,1752160635.9611857,7.4990234375,2,0,0
0,1752160636.2753394,7.7998046875,2,2,1
0,1752160636.5864198,8.099609375,2,1,0
0,1752160636.86834,8.3994140625,2,2,1
0,1752160637.18092,8.69921875,2,0,0
0,1752160637.4624891,8.9990234375,2,1,0
0,1752160637.7749097,9.2998046875,2,1,0
0,1752160638.0869734,9.599609375,2,0,0
0,1752160638.368196,9.8994140625,2,2,1
0,1752160638.6804595,10.19921875,2,1,0
0,1752160638.9620745,10.4990234375,2,2,1
0,1752160639.2748513,10.7998046875,2,0,0
0,1752160639.5867105,11.099609375,2,2,1
0,1752160639.8690953,11.3994140625,2,0,0
0,1752160640.1810875,11.69921875,2,1,0
0,1752160640.4658432,11.9990234375,2,1,0
0,1752160640.7736437,12.2998046875,2,2,1
0,1752160641.0866685,12.599609375,2,0,0
0,1752160641.3675551,12.8994140625,2,0,0
0,1752160641.680428,13.19921875,2,1,0
0,1752160641.9616745,13.4990234375,2,2,1
0,1752160642.2736638,13.7998046875,2,0,0
0,1752160642.5869632,14.099609375,2,2,1
0,1752160642.8684363,14.3994140625,2,1,0
0,1752160643.1806002,14.69921875,2,1,0
0,1752160643.4615855,14.9990234375,2,2,1
0,1752160643.773877,15.2998046875,2,0,0
0,1752160644.086385,15.599609375,2,0,0
0,1752160644.369199,15.8994140625,2,1,0
0,1752160644.6804605,16.19921875,2,2,1
0,1752160644.9617434,16.4990234375,2,2,1
0,1752160645.2748027,16.7998046875,2,1,0
0,1752160645.5877204,17.099609375,2,0,0
0,1752160645.8675027,17.3994140625,2,2,1
0,1752160646.1805723,17.69921875,2,0,0
0,1752160646.4616914,17.9990234375,2,1,0
1,1752160647.6803932,19.19921875,0,2,0
1,1752160647.962201,19.4990234375,0,1,0
1,1752160648.2748823,19.7998046875,0,0,1
1,1752160648.5870004,20.099609375,0,0,1
1,1752160648.8685884,20.3994140625,0,2,0
1,1752160649.1807022,20.69921875,0,1,0
1,1752160649.462034,20.9990234375,0,1,0
1,1752160649.7745292,21.2998046875,0,2,0
1,1752160650.0872164,21.599609375,0,0,1
1,1752160650.3674176,21.8994140625,0,0,1
1,1752160650.6807094,22.19921875,0,1,0
1,1752160650.9615068,22.4990234375,0,2,0
1,1752160651.2746923,22.7998046875,0,1,0
1,1752160651.5869148,23.099609375,0,2,0
1,1752160651.8673506,23.3994140625,0,0,1
1,1752160652.1798208,23.69921875,0,1,0
1,1752160652.461727,23.9990234375,0,0,1
1,1752160652.7743008,24.2998046875,0,2,0
1,1752160653.087147,24.599609375,0,2,0
1,1752160653.368322,24.8994140625,0,1,0
1,1752160653.6811142,25.19921875,0,0,1
1,1752160653.9619768,25.4990234375,0,2,0
1,1752160654.275451,25.7998046875,0,0,1
