timestamp,stimulus_idx,stimulus_name,is_target
1751650196.3455808,2,Scissors,0
1751650196.7475986,1,Paper,0
1751650197.148399,0,Rock,1
1751650197.5497344,1,Paper,0
1751650197.951443,0,Rock,1
1751650198.3530548,2,Scissors,0
1751650198.7557492,1,Paper,0
1751650199.1571908,0,Rock,1
1751650199.5583022,2,Scissors,0
1751650199.9592712,2,Scissors,0
1751650200.3635077,1,Paper,0
1751650200.7649727,0,Rock,1
1751650201.1656926,0,Rock,1
1751650201.5674222,2,Scissors,0
1751650201.970683,1,Paper,0
1751650202.3724082,0,Rock,1
1751650202.7744823,2,Scissors,0
1751650203.1755426,1,Paper,0
1751650203.576243,0,Rock,1
1751650203.9773078,2,Scissors,0
1751650204.3832524,1,Paper,0
1751650204.7842126,2,Scissors,0
1751650205.1858966,1,Paper,0
1751650205.587906,0,Rock,1
1751650205.9910338,0,Rock,1
1751650206.3929236,1,Paper,0
1751650206.7938235,2,Scissors,0
1751650207.1974547,0,Rock,1
1751650207.600782,2,Scissors,0
1751650208.001519,1,Paper,0
1751650208.40342,0,Rock,1
1751650208.8043263,1,Paper,0
1751650209.2051616,2,Scissors,0
1751650209.6053953,2,Scissors,0
1751650210.0075896,1,Paper,0
1751650210.4091136,0,Rock,1
1751650210.8111732,1,Paper,0
1751650211.2120988,0,Rock,1
1751650211.6142275,2,Scissors,0
1751650212.0165,1,Paper,0
1751650212.4205537,2,Scissors,0
1751650212.8214903,0,Rock,1
1751650213.2231407,2,Scissors,0
1751650213.624603,1,Paper,0
1751650214.026455,0,Rock,1
