Time:128Hz,Epoch,AF3,Event Id,Event Date,Event Duration
0.0000000000,0,4099.3588867188,,,
0.0078125000,0,4100.2563476563,,,
0.0156250000,0,4102.1796875000,,,
0.0234375000,0,4103.4614257813,,,
0.0312500000,0,4103.0771484375,,,
0.0390625000,0,4101.6665039063,,,
0.0468750000,0,4100.5126953125,,,
0.0546875000,0,4100.1284179688,,,
0.0625000000,0,4101.1538085938,,,
0.0703125000,0,4103.0771484375,,,
0.0781250000,0,4104.6152343750,,,
0.0859375000,0,4104.3588867188,,,
0.0937500000,0,4102.8203125000,,,
0.1015625000,0,4101.4101562500,,,
0.1093750000,0,4101.7949218750,,,
0.1171875000,0,4103.3334960938,,,
0.1250000000,0,4104.2309570313,,,
0.1328125000,0,4103.8461914063,,,
0.1406250000,0,4103.2050781250,,,
0.1484375000,0,4103.7177734375,,,
0.1562500000,0,4105.1284179688,,,
0.1640625000,0,4106.2822265625,,,
0.1718750000,0,4106.1538085938,,,
0.1796875000,0,4105.6411132813,,,
0.1875000000,0,4105.6411132813,,,
0.1953125000,0,4106.1538085938,,,
0.2031250000,0,4106.2822265625,,,
0.2109375000,0,4105.3847656250,,,
0.2187500000,0,4103.9741210938,,,
0.2265625000,0,4103.3334960938,,,
0.2343750000,0,4103.8461914063,,,
0.2421875000,0,4104.4873046875,,,
0.2500000000,1,4104.2309570313,,,
0.2578125000,1,4103.3334960938,,,
0.2656250000,1,4102.8203125000,,,
0.2734375000,1,4104.2309570313,,,
0.2812500000,1,4107.1796875000,,,
0.2890625000,1,4109.3588867188,,,
0.2968750000,1,4108.3334960938,33024,0.2998046875,0.0000000000
0.3046875000,1,4104.6152343750,,,
0.3125000000,1,4101.7949218750,,,
0.3203125000,1,4102.8203125000,,,
0.3281250000,1,4106.1538085938,,,
0.3359375000,1,4106.5385742188,,,
0.3437500000,1,4099.6152343750,,,
0.3515625000,1,4086.6667480469,,,
0.3593750000,1,4074.3588867188,,,
0.3671875000,1,4070.1281738281,,,
0.3750000000,1,4077.0512695313,,,
0.3828125000,1,4091.2819824219,,,
0.3906250000,1,4104.8715820313,,,
0.3984375000,1,4111.5385742188,,,
0.4062500000,1,4110.1284179688,,,
0.4140625000,1,4104.2309570313,,,
0.4218750000,1,4099.6152343750,,,
0.4296875000,1,4099.7436523438,,,
0.4375000000,1,4104.3588867188,,,
0.4453125000,1,4110.0000000000,,,
0.4531250000,1,4113.0771484375,,,
0.4609375000,1,4113.2050781250,,,
0.4687500000,1,4111.9228515625,,,
0.4765625000,1,4111.5385742188,,,
0.4843750000,1,4113.0771484375,,,
0.4921875000,1,4115.8974609375,,,
0.5000000000,2,4118.3334960938,,,
0.5078125000,2,4118.9741210938,,,
0.5156250000,2,4117.1796875000,,,
0.5234375000,2,4114.2309570313,,,
0.5312500000,2,4112.0512695313,,,
0.5390625000,2,4111.7949218750,,,
0.5468750000,2,4112.5639648438,,,
0.5546875000,2,4112.6923828125,,,
0.5625000000,2,4111.4101562500,,,
0.5703125000,2,4109.7436523438,,,
0.5781250000,2,4109.2309570313,,,
0.5859375000,2,4110.3847656250,,,
0.5937500000,2,4112.1796875000,33024,0.5996093750,0.0000000000
0.6015625000,2,4113.2050781250,,,
0.6093750000,2,4112.6923828125,,,
0.6171875000,2,4111.1538085938,,,
0.6250000000,2,4109.6152343750,,,
0.6328125000,2,4108.5898437500,,,
0.6406250000,2,4107.5639648438,,,
0.6484375000,2,4106.4101562500,,,
0.6562500000,2,4105.3847656250,,,
0.6640625000,2,4105.3847656250,,,
0.6718750000,2,4106.6665039063,,,
0.6796875000,2,4108.3334960938,,,
0.6875000000,2,4109.2309570313,,,
0.6953125000,2,4108.8461914063,,,
0.7031250000,2,4108.0771484375,,,
0.7109375000,2,4107.9487304688,,,
0.7187500000,2,4108.2050781250,,,
0.7265625000,2,4107.6923828125,,,
0.7343750000,2,4105.7690429688,,,
0.7421875000,2,4103.7177734375,,,
0.7500000000,3,4103.0771484375,,,
0.7578125000,3,4104.1025390625,,,
0.7656250000,3,4105.0000000000,,,
0.7734375000,3,4104.2309570313,,,
0.7812500000,3,4101.7949218750,,,
0.7890625000,3,4099.8715820313,,,
0.7968750000,3,4099.8715820313,,,
0.8046875000,3,4101.2822265625,,,
0.8125000000,3,4102.5639648438,,,
0.8203125000,3,4103.0771484375,,,
0.8281250000,3,4103.3334960938,,,
0.8359375000,3,4104.3588867188,,,
0.8437500000,3,4105.7690429688,,,
0.8515625000,3,4106.1538085938,,,
0.8593750000,3,4104.7436523438,,,
0.8671875000,3,4102.1796875000,,,
0.8750000000,3,4100.0000000000,,,
0.8828125000,3,4099.1025390625,,,
0.8906250000,3,4099.8715820313,,,
0.8984375000,3,4102.1796875000,33024,0.8994140625,0.0000000000
0.9062500000,3,4105.2563476563,,,
0.9140625000,3,4107.1796875000,,,
0.9218750000,3,4106.2822265625,,,
0.9296875000,3,4103.5898437500,,,
0.9375000000,3,4101.9228515625,,,
0.9453125000,3,4103.9741210938,,,
0.9531250000,3,4107.9487304688,,,
0.9609375000,3,4108.2050781250,,,
0.9687500000,3,4100.0000000000,,,
0.9765625000,3,4085.3845214844,,,
0.9843750000,3,4072.4357910156,,,
0.9921875000,3,4070.2563476563,,,
1.0000000000,4,4080.0000000000,,,
1.0078125000,4,4094.7436523438,,,
1.0156250000,4,4104.7436523438,,,
1.0234375000,4,4105.1284179688,,,
1.0312500000,4,4098.5898437500,,,
1.0390625000,4,4092.3076171875,,,
1.0468750000,4,4091.2819824219,,,
1.0546875000,4,4095.0000000000,,,
1.0625000000,4,4098.8461914063,,,
1.0703125000,4,4099.2309570313,,,
1.0781250000,4,4097.0512695313,,,
