Time:64Hz,Epoch,AF3,Event Id,Event Date,Event Duration
0.0000000000,0,0.7182565012,,,
0.0156250000,0,4.0999677464,,,
0.0312500000,0,0.7786387538,,,
0.0468750000,0,-6.8809401563,,,
0.0625000000,0,-1.1384358990,,,
0.0781250000,0,7.1902894283,,,
0.0937500000,0,6.0869349704,,,
0.1093750000,0,-1.4085437805,,,
0.1250000000,0,-2.0013366504,,,
0.1406250000,0,-0.6912544760,,,
0.1562500000,0,-7.2365133451,,,
0.1718750000,0,-8.1913420452,,,
0.1875000000,0,-7.5387854921,,,
0.2031250000,0,-4.9366137524,,,
0.2187500000,0,4.2761868757,,,
0.2343750000,0,5.4844732868,,,
0.2500000000,1,3.0715884198,,,
0.2656250000,1,1.1660956873,,,
0.2812500000,1,-1.8895403478,,,
0.2968750000,1,0.6456287027,33024,0.2998046875,0.0000000000
0.3125000000,1,4.7308733148,,,
0.3281250000,1,5.3128451523,,,
0.3437500000,1,-1.1402588560,,,
0.3593750000,1,-5.2609542748,,,
0.3750000000,1,-0.2391388363,,,
0.3906250000,1,-1.4920296642,,,
0.4062500000,1,-3.7633619041,,,
0.4218750000,1,-2.2104905659,,,
0.4375000000,1,-1.9164225617,,,
0.4531250000,1,2.5048477574,,,
0.4687500000,1,-0.1588343024,,,
0.4843750000,1,-3.5199196288,,,
0.5000000000,2,2.3666714764,,,
0.5156250000,2,-2.4641351144,,,
0.5312500000,2,-16.1369884424,,,
0.5468750000,2,-19.3698384056,,,
0.5625000000,2,2.0875367101,,,
0.5781250000,2,28.5205209685,,,
0.5937500000,2,24.1638204238,33024,0.5996093750,0.0000000000
0.6093750000,2,10.3920369603,,,
0.6250000000,2,10.3834765529,,,
0.6406250000,2,11.6955386619,,,
0.6562500000,2,6.7600564766,,,
0.6718750000,2,0.5992672691,,,
0.6875000000,2,1.4055570090,,,
0.7031250000,2,-0.3011077714,,,
0.7187500000,2,-3.6867036571,,,
0.7343750000,2,-1.2975777364,,,
0.7500000000,3,-1.6718146650,,,
0.7656250000,3,-1.3061576804,,,
0.7812500000,3,-0.7630733146,,,
0.7968750000,3,0.0694858565,,,
0.8125000000,3,3.0875654202,,,
0.8281250000,3,-0.0623430396,,,
0.8437500000,3,-1.0192192183,,,
0.8593750000,3,-1.8849462267,,,
0.8750000000,3,-7.4778759055,,,
0.8906250000,3,-6.3199375437,33024,0.8994140625,0.0000000000
0.9062500000,3,-4.0977449031,,,
0.9218750000,3,-3.1658846491,,,
0.9375000000,3,-4.9985050407,,,
0.9531250000,3,-10.5816482821,,,
0.9687500000,3,-9.4760411664,,,
0.9843750000,3,-6.9773624031,,,
1.0000000000,4,-4.2488328826,,,
1.0156250000,4,-2.3149782174,,,
1.0312500000,4,-3.4786410049,,,
1.0468750000,4,1.6921398954,,,
1.0625000000,4,3.3487371522,,,
1.0781250000,4,0.0565395039,,,
1.0937500000,4,0.3811081808,,,
1.1093750000,4,-1.3413765091,,,
1.1250000000,4,-1.6961401742,,,
1.1406250000,4,0.1323491325,,,
1.1562500000,4,1.6667191378,,,
1.1718750000,4,-0.4233766905,,,
1.1875000000,4,-0.6705484578,33024,1.1992187500,0.0000000000
1.2031250000,4,13.3611630258,,,
1.2187500000,4,15.3298466730,,,
1.2343750000,4,-2.5348131591,,,
1.2500000000,5,-9.9919825206,,,
1.2656250000,5,-7.0465203250,,,
1.2812500000,5,-2.2910288611,,,
