Time:64Hz,Epoch,AF3,Event Id,Event Date,Event Duration
0.0000000000,0,0.6072259453,,,
0.0156250000,0,4.0600733712,,,
0.0312500000,0,5.9795502432,,,
0.0468750000,0,2.6791090040,,,
0.0625000000,0,-3.2142801200,,,
0.0781250000,0,-5.3897136578,,,
0.0937500000,0,-0.7029504879,,,
0.1093750000,0,-14.1861916783,,,
0.1250000000,0,-45.2833479208,,,
0.1406250000,0,-32.6697479812,,,
0.1562500000,0,26.7421927561,,,
0.1718750000,0,46.3371012493,,,
0.1875000000,0,15.3657004083,,,
0.2031250000,0,10.0524145250,,,
0.2187500000,0,24.3940453658,,,
0.2343750000,0,13.5313715150,,,
0.2500000000,1,-0.9143278915,,,
0.2656250000,1,-1.8072435423,,,
0.2812500000,1,0.1598415401,,,
0.2968750000,1,-2.1826913828,33024,0.2998046875,0.0000000000
0.3125000000,1,-5.2382477061,,,
0.3281250000,1,-1.5618413130,,,
0.3437500000,1,-0.3419832185,,,
0.3593750000,1,-3.5012841641,,,
0.3750000000,1,-4.4465908103,,,
0.3906250000,1,-6.0617113395,,,
0.4062500000,1,-4.8611096996,,,
0.4218750000,1,-3.7454562825,,,
0.4375000000,1,-8.5939848477,,,
0.4531250000,1,-11.1415235669,,,
0.4687500000,1,-7.6862048808,,,
0.4843750000,1,-4.7949700185,,,
0.5000000000,2,-6.1481630606,,,
0.5156250000,2,-5.4100823975,,,
0.5312500000,2,-1.7157908348,,,
0.5468750000,2,-0.6923772522,,,
0.5625000000,2,-1.0653859859,,,
0.5781250000,2,-3.1534310080,,,
0.5937500000,2,-1.6303817615,33024,0.5996093750,0.0000000000
0.6093750000,2,4.9130553410,,,
0.6250000000,2,4.8338555166,,,
0.6406250000,2,1.0894057146,,,
0.6562500000,2,0.8007720351,,,
0.6718750000,2,2.3777228997,,,
0.6875000000,2,4.3183726368,,,
0.7031250000,2,2.6857241558,,,
0.7187500000,2,-0.2452290697,,,
0.7343750000,2,-0.9094922930,,,
0.7500000000,3,0.5719061045,,,
0.7656250000,3,1.6562248258,,,
0.7812500000,3,-1.4087581528,,,
0.7968750000,3,-0.9588931553,,,
0.8125000000,3,2.9370878451,,,
0.8281250000,3,2.8576255881,,,
0.8437500000,3,2.6956116901,,,
0.8593750000,3,2.2648204075,,,
0.8750000000,3,2.0697792446,,,
0.8906250000,3,4.0031014449,33024,0.8994140625,0.0000000000
0.9062500000,3,4.8567811079,,,
0.9218750000,3,6.4051808771,,,
0.9375000000,3,6.7999947463,,,
0.9531250000,3,4.3629867031,,,
0.9687500000,3,1.7801486803,,,
0.9843750000,3,0.0383161916,,,
1.0000000000,4,-0.1147453392,,,
1.0156250000,4,-2.8376935143,,,
1.0312500000,4,-3.5777074272,,,
1.0468750000,4,1.8528847281,,,
1.0625000000,4,2.5244019703,,,
1.0781250000,4,0.0431777339,,,
1.0937500000,4,0.2491962493,,,
1.1093750000,4,0.6887902546,,,
1.1250000000,4,1.5872160975,,,
1.1406250000,4,0.7476495366,,,
1.1562500000,4,-2.7030296994,,,
1.1718750000,4,-5.6716369309,,,
1.1875000000,4,-4.9465875527,33024,1.1992187500,0.0000000000
1.2031250000,4,-4.0125636638,,,
1.2187500000,4,-5.6587674010,,,
1.2343750000,4,-2.2047598171,,,
1.2500000000,5,1.1013252808,,,
