Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.1796875000,0,4094.2307128906,4302.8203125000,4119.4873046875,4074.7436523438,4153.3334960938,4067.3076171875,4102.1796875000,4057.1794433594,4066.1538085938,4103.0771484375,4092.1794433594,4104.1025390625,4059.8718261719,4036.4101562500,,,
0.1875000000,0,4095.8974609375,4293.9741210938,4118.3334960938,4068.8461914063,4153.4614257813,4075.1281738281,4101.7949218750,4062.1794433594,4067.0512695313,4103.0771484375,4100.1284179688,4104.8715820313,4065.5129394531,4038.0769042969,,,
0.1953125000,0,4098.4614257813,4290.6411132813,4119.4873046875,4065.8974609375,4153.4614257813,4080.5129394531,4099.7436523438,4066.0256347656,4069.4870605469,4103.0771484375,4102.3076171875,4105.8974609375,4072.9487304688,4041.0256347656,,,
0.2031250000,0,4101.1538085938,4292.5639648438,4121.7949218750,4065.5129394531,4153.5898437500,4079.3588867188,4097.1796875000,4067.6923828125,4073.0769042969,4103.0771484375,4097.0512695313,4106.1538085938,4076.9230957031,4042.0512695313,,,
0.2109375000,0,4103.2050781250,4296.1538085938,4123.0771484375,4065.5129394531,4153.7177734375,4070.2563476563,4096.4101562500,4067.1794433594,4076.1538085938,4103.0771484375,4086.2819824219,4103.8461914063,4074.1025390625,4040.3845214844,,,
0.2187500000,0,4103.7177734375,4297.4360351563,4121.1538085938,4064.6154785156,4153.9741210938,4056.4101562500,4098.4614257813,4065.7692871094,4078.0769042969,4103.0771484375,4075.8974609375,4099.3588867188,4065.6411132813,4037.9487304688,,,
0.2265625000,0,4101.6665039063,4295.5126953125,4115.7690429688,4063.4614257813,4154.1025390625,4044.4870605469,4101.5385742188,4063.8461914063,4078.4614257813,4103.0771484375,4071.4101562500,4094.8718261719,4056.4101562500,4036.9230957031,,,
0.2343750000,0,4096.7949218750,4292.0512695313,4107.5639648438,4063.9743652344,4153.9741210938,4039.8718261719,4103.3334960938,4060.7692871094,4077.0512695313,4103.0771484375,4075.1281738281,4092.6923828125,4052.4357910156,4037.8205566406,,,
0.2421875000,0,4090.1281738281,4289.4873046875,4098.2050781250,4066.9230957031,4153.8461914063,4042.0512695313,4102.4360351563,4054.8718261719,4072.0512695313,4103.0771484375,4083.8461914063,4093.3332519531,4056.0256347656,4038.9743652344,,,
0.2500000000,1,4083.8461914063,4289.8715820313,4090.2563476563,4070.6411132813,4153.8461914063,4046.2819824219,4099.8715820313,4046.0256347656,4062.6923828125,4103.0771484375,4092.0512695313,4096.0258789063,4064.6154785156,4038.4614257813,,,
0.2578125000,1,4080.0000000000,4293.4614257813,4085.5129394531,4072.9487304688,4154.1025390625,4047.4357910156,4097.5639648438,4036.7949218750,4051.6667480469,4103.0771484375,4095.8974609375,4099.6152343750,4072.0512695313,4036.4101562500,,,
0.2656250000,1,4080.1281738281,4298.0771484375,4084.6154785156,4073.3332519531,4153.8461914063,4044.8718261719,4097.0512695313,4031.6667480469,4044.3588867188,4103.0771484375,4095.0000000000,4103.5898437500,4073.3332519531,4034.6154785156,,,
0.2734375000,1,4084.2307128906,4300.0000000000,4087.1794433594,4073.9743652344,4153.3334960938,4041.9230957031,4098.4614257813,4033.0769042969,4044.8718261719,4103.0771484375,4091.6667480469,4106.9228515625,4068.0769042969,4035.2563476563,,,
0.2812500000,1,4091.1538085938,4296.4101562500,4092.3076171875,4077.9487304688,4152.6923828125,4042.5642089844,4100.8974609375,4039.7436523438,4052.1794433594,4103.0771484375,4088.4614257813,4109.2309570313,4060.2563476563,4039.3588867188,,,
0.2890625000,1,4098.3334960938,4289.1025390625,4098.7177734375,4085.5129394531,4152.8203125000,4047.4357910156,4102.8203125000,4047.4357910156,4060.0000000000,4103.0771484375,4085.8974609375,4110.1284179688,4055.3845214844,4045.8974609375,,,
0.2968750000,1,4103.2050781250,4283.5898437500,4104.3588867188,4092.4357910156,4153.4614257813,4052.8205566406,4103.2050781250,4051.6667480469,4062.1794433594,4103.0771484375,4083.0769042969,4109.8715820313,4056.9230957031,4051.9230957031,,,
0.3046875000,1,4105.7690429688,4286.0258789063,4107.1796875000,4093.0769042969,4154.2309570313,4053.8461914063,4101.9228515625,4051.2819824219,4058.0769042969,4103.0771484375,4080.3845214844,4109.4873046875,4065.1281738281,4055.5129394531,,,
0.3125000000,1,4107.1796875000,4297.0512695313,4106.9228515625,4083.5898437500,4154.3588867188,4050.6411132813,4100.0000000000,4048.7180175781,4052.5642089844,4103.0771484375,4079.6154785156,4110.0000000000,4076.4101562500,4057.4357910156,,,
0.3203125000,1,4108.3334960938,4308.8461914063,4104.8715820313,4067.3076171875,4153.7177734375,4048.7180175781,4098.5898437500,4047.8205566406,4051.5385742188,4103.0771484375,4082.1794433594,4112.1796875000,4084.8718261719,4059.4870605469,,,
0.3281250000,1,4108.8461914063,4310.3847656250,4104.3588867188,4053.4614257813,4152.8203125000,4053.3332519531,4098.5898437500,4050.8974609375,4056.5385742188,4103.0771484375,4086.2819824219,4115.8974609375,4084.7436523438,4062.3076171875,,,
0.3359375000,1,4107.8203125000,4296.9228515625,4107.6923828125,4052.0512695313,4152.4360351563,4064.2307128906,4100.1284179688,4057.5642089844,4065.2563476563,4103.0771484375,4089.4870605469,4120.1284179688,4075.7692871094,4063.9743652344,,,
0.3437500000,1,4105.7690429688,4276.2822265625,4115.2563476563,4064.7436523438,4152.8203125000,4075.1281738281,4102.1796875000,4066.1538085938,4074.4870605469,4103.0771484375,4091.4101562500,4124.1025390625,4065.0000000000,4063.2050781250,,,
0.3515625000,1,4104.8715820313,4265.0000000000,4124.2309570313,4083.7180175781,4153.4614257813,4079.8718261719,4103.0771484375,4074.6154785156,4082.6923828125,4103.0771484375,4094.1025390625,4127.0512695313,4062.1794433594,4060.8974609375,,,
0.3593750000,1,4107.1796875000,4273.5898437500,4130.6411132813,4097.6923828125,4153.5898437500,4077.1794433594,4102.0512695313,4080.3845214844,4088.9743652344,4103.0771484375,4099.1025390625,4129.2309570313,4070.5129394531,4059.8718261719,,,
0.3671875000,1,4113.0771484375,4297.4360351563,4131.6665039063,4101.7949218750,4153.0771484375,4071.1538085938,4099.8715820313,4081.7949218750,4091.6667480469,4103.0771484375,4103.7177734375,4130.1284179688,4082.4357910156,4061.4101562500,,,
0.3750000000,1,4119.3588867188,4319.6152343750,4127.3076171875,4099.3588867188,4152.0512695313,4066.2819824219,4098.2050781250,4077.5642089844,4088.5898437500,4103.0771484375,4103.0771484375,4128.4614257813,4085.5129394531,4063.3332519531,,,
0.3828125000,1,4121.2822265625,4325.7690429688,4119.1025390625,4096.2822265625,4151.0258789063,4063.7180175781,4097.9487304688,4067.9487304688,4078.5898437500,4103.0771484375,4094.3588867188,4122.8203125000,4073.3332519531,4060.7692871094,,,
0.3906250000,1,4115.6411132813,4313.9741210938,4108.7177734375,4092.5642089844,4150.5126953125,4060.8974609375,4098.4614257813,4055.5129394531,4063.7180175781,4103.0771484375,4079.3588867188,4113.0771484375,4050.6411132813,4051.0256347656,,,
0.3984375000,1,4104.6152343750,4295.1284179688,4098.5898437500,4084.1025390625,4150.8974609375,4055.6411132813,4098.3334960938,4044.3588867188,4049.1025390625,4103.0771484375,4063.0769042969,4101.1538085938,4028.5898437500,4035.8974609375,,,
0.4062500000,1,4093.4614257813,4283.2050781250,4090.3845214844,4070.3845214844,4151.7949218750,4047.3076171875,4096.6665039063,4038.0769042969,4040.8974609375,4103.0771484375,4050.5129394531,4089.8718261719,4016.0256347656,4020.3845214844,,,
0.4140625000,1,4087.5642089844,4284.6152343750,4085.5129394531,4058.0769042969,4152.4360351563,4038.4614257813,4093.9743652344,4037.6923828125,4041.4101562500,4103.0771484375,4043.5898437500,4081.9230957031,4012.8205566406,4009.7436523438,,,
0.4218750000,1,4088.0769042969,4294.4873046875,4083.4614257813,4056.0256347656,4152.3076171875,4032.8205566406,4091.6667480469,4040.8974609375,4047.9487304688,4102.9487304688,4041.5385742188,4078.4614257813,4013.2050781250,4005.2563476563,,,
0.4296875000,1,4092.0512695313,4302.4360351563,4083.0769042969,4066.1538085938,4151.2822265625,4032.8205566406,4091.5385742188,4044.1025390625,4053.9743652344,4102.9487304688,4041.9230957031,4078.5898437500,4010.8974609375,4004.7436523438,,,
0.4375000000,1,4094.7436523438,4301.9228515625,4082.9487304688,4081.4101562500,4150.3847656250,4038.8461914063,4094.4870605469,4044.4870605469,4055.0000000000,4102.9487304688,4042.1794433594,4080.2563476563,4003.7180175781,4003.9743652344,,,
0.4453125000,1,4093.7180175781,4295.5126953125,4081.1538085938,4091.4101562500,4150.3847656250,4048.0769042969,4099.4873046875,4041.6667480469,4051.5385742188,4103.0771484375,4041.2819824219,4081.9230957031,3994.4870605469,4000.5129394531,,,
0.4531250000,1,4090.3845214844,4290.2563476563,4077.5642089844,4090.3845214844,4151.4101562500,4056.4101562500,4103.4614257813,4037.6923828125,4048.0769042969,4103.0771484375,4039.4870605469,4083.3332519531,3988.8461914063,3994.2307128906,,,
0.4609375000,1,4087.8205566406,4290.7690429688,4073.8461914063,4082.0512695313,4152.6923828125,4060.5129394531,4104.1025390625,4035.5129394531,4047.9487304688,4103.0771484375,4038.2050781250,4085.8974609375,3990.5129394531,3988.5898437500,,,
0.4687500000,1,4087.8205566406,4295.8974609375,4072.5642089844,4075.0000000000,4152.9487304688,4060.8974609375,4101.2822265625,4035.7692871094,4050.0000000000,4102.9487304688,4037.8205566406,4089.4870605469,3998.0769042969,3987.4357910156,,,
0.4765625000,1,4089.3588867188,4300.2563476563,4074.7436523438,4075.3845214844,4151.5385742188,4059.8718261719,4097.5639648438,4037.1794433594,4050.5129394531,4102.9487304688,4037.5642089844,4092.9487304688,4005.5129394531,3992.3076171875,,,
0.4843750000,1,4090.2563476563,4300.3847656250,4078.8461914063,4082.4357910156,4149.4873046875,4059.7436523438,4095.8974609375,4037.9487304688,4048.0769042969,4103.0771484375,4036.1538085938,4094.2307128906,4006.9230957031,4000.3845214844,,,
0.4921875000,1,4090.0000000000,4297.4360351563,4082.1794433594,4089.2307128906,4149.1025390625,4061.0256347656,4097.3076171875,4037.5642089844,4045.0000000000,4103.4614257813,4033.9743652344,4092.4357910156,4001.9230957031,4007.1794433594,,,
0.5000000000,2,4089.3588867188,4295.0000000000,4082.5642089844,4089.8718261719,4151.5385742188,4062.5642089844,4100.2563476563,4037.3076171875,4045.5129394531,4104.2309570313,4032.1794433594,4088.2050781250,3995.1281738281,4008.9743652344,,,
0.5078125000,2,4089.3588867188,4293.7177734375,4080.1281738281,4084.3588867188,4154.3588867188,4062.6923828125,4101.7949218750,4038.0769042969,4050.5129394531,4105.0000000000,4032.5642089844,4083.2050781250,3991.1538085938,4005.1281738281,,,
0.5156250000,2,4090.0000000000,4291.2822265625,4076.6667480469,4078.5898437500,4154.2309570313,4060.5129394531,4100.3847656250,4040.5129394531,4057.5642089844,4105.2563476563,4036.0256347656,4079.1025390625,3991.7949218750,3997.9487304688,,,
0.5234375000,2,4090.8974609375,4285.7690429688,4075.0000000000,4077.1794433594,4149.6152343750,4056.4101562500,4097.0512695313,4043.8461914063,4062.8205566406,4104.8715820313,4041.9230957031,4077.1794433594,3994.7436523438,3991.5385742188,,,
0.5312500000,2,4091.7949218750,4279.4873046875,4075.5129394531,4078.7180175781,4142.8203125000,4051.2819824219,4094.6154785156,4046.4101562500,4064.3588867188,4104.2309570313,4047.1794433594,4077.3076171875,3996.6667480469,3988.9743652344,,,
0.5390625000,2,4092.4357910156,4277.1796875000,4075.8974609375,4077.6923828125,4138.3334960938,4047.1794433594,4094.7436523438,4046.7949218750,4062.6923828125,4104.1025390625,4047.3076171875,4077.8205566406,3995.0000000000,3989.7436523438,,,
0.5468750000,2,4092.0512695313,4280.3847656250,4074.6154785156,4070.6411132813,4138.8461914063,4046.5385742188,4096.5385742188,4046.1538085938,4060.3845214844,4104.7436523438,4040.3845214844,4076.9230957031,3989.8718261719,3991.0256347656,,,
0.5546875000,2,4090.8974609375,4285.3847656250,4072.5642089844,4060.5129394531,4142.9487304688,4050.7692871094,4097.9487304688,4046.9230957031,4059.6154785156,4105.5126953125,4030.3845214844,4074.3588867188,3984.3588867188,3990.0000000000,,,
0.5625000000,2,4089.7436523438,4287.8203125000,4072.8205566406,4054.4870605469,4146.6665039063,4058.9743652344,4097.5639648438,4050.7692871094,4060.7692871094,4105.5126953125,4024.3588867188,4071.5385742188,3983.2050781250,3986.7949218750,,,
0.5703125000,2,4090.2563476563,4286.5385742188,4077.3076171875,4058.2050781250,4146.6665039063,4068.7180175781,4096.1538085938,4056.9230957031,4061.9230957031,4104.2309570313,4027.3076171875,4070.7692871094,3989.1025390625,3983.8461914063,,,
0.5781250000,2,4092.3076171875,4283.8461914063,4084.7436523438,4072.3076171875,4142.6923828125,4076.0256347656,4095.2563476563,4062.3076171875,4061.9230957031,4101.7949218750,4036.2819824219,4072.5642089844,3998.9743652344,3983.3332519531,,,
0.5859375000,2,4094.2307128906,4281.5385742188,4091.5385742188,4091.6667480469,4137.8203125000,4076.2819824219,4095.6411132813,4063.8461914063,4061.0256347656,4099.3588867188,4043.0769042969,4075.2563476563,4005.5129394531,3985.2563476563,,,
0.5937500000,2,4093.4614257813,4279.4873046875,4093.4614257813,4106.0258789063,4135.0000000000,4067.8205566406,4097.5639648438,4060.3845214844,4060.7692871094,4097.6923828125,4041.2819824219,4076.1538085938,4003.4614257813,3987.1794433594,,,
0.6015625000,2,4089.1025390625,4276.4101562500,4088.7180175781,4104.4873046875,4135.6411132813,4053.3332519531,4099.8715820313,4052.8205566406,4061.7949218750,4097.4360351563,4033.7180175781,4073.4614257813,3994.4870605469,3987.1794433594,,,
0.6093750000,2,4082.8205566406,4272.8203125000,4079.6154785156,4083.8461914063,4138.0771484375,4040.3845214844,4101.4101562500,4044.4870605469,4063.2050781250,4098.2050781250,4028.8461914063,4068.7180175781,3986.9230957031,3985.0000000000,,,
0.6171875000,2,4078.4614257813,4271.1538085938,4071.9230957031,4054.2307128906,4139.7436523438,4035.8974609375,4102.0512695313,4038.9743652344,4063.7180175781,4099.3588867188,4032.9487304688,4065.5129394531,3987.4357910156,3982.9487304688,,,
0.6250000000,2,4078.8461914063,4273.3334960938,4070.7692871094,4036.2819824219,4139.3588867188,4041.5385742188,4101.7949218750,4038.9743652344,4063.2050781250,4100.0000000000,4044.1025390625,4066.9230957031,3996.0256347656,3983.7180175781,,,
0.6328125000,2,4084.2307128906,4279.4873046875,4077.3076171875,4045.5129394531,4137.6923828125,4052.8205566406,4100.7690429688,4044.7436523438,4063.3332519531,4100.1284179688,4054.3588867188,4073.0769042969,4006.6667480469,3988.4614257813,,,
0.6406250000,2,4091.7949218750,4287.1796875000,4087.8205566406,4079.3588867188,4136.2822265625,4063.8461914063,4099.3588867188,4054.1025390625,4066.5385742188,4099.6152343750,4057.1794433594,4080.8974609375,4014.4870605469,3995.3845214844,,,
0.6484375000,2,4097.5639648438,4293.9741210938,4096.0258789063,4115.5126953125,4136.4101562500,4070.8974609375,4097.9487304688,4063.5898437500,4073.3332519531,4099.1025390625,4053.0769042969,4087.3076171875,4018.7180175781,4001.7949218750,,,
0.6562500000,2,4099.2309570313,4297.4360351563,4097.0512695313,4127.3076171875,4137.1796875000,4073.8461914063,4097.5639648438,4068.7180175781,4080.7692871094,4098.8461914063,4047.3076171875,4089.7436523438,4021.2819824219,4005.6411132813,,,
0.6640625000,2,4096.6665039063,4295.7690429688,4090.5129394531,4103.9741210938,4137.5639648438,4072.9487304688,4097.9487304688,4066.4101562500,4083.0769042969,4098.8461914063,4045.8974609375,4087.9487304688,4022.8205566406,4006.4101562500,,,
0.6718750000,2,4092.3076171875,4288.0771484375,4080.5129394531,4060.6411132813,4136.6665039063,4067.9487304688,4097.8203125000,4055.5129394531,4075.7692871094,4099.1025390625,4050.2563476563,4082.6923828125,4022.3076171875,4004.7436523438,,,
0.6796875000,2,4088.7180175781,4276.9228515625,4073.0769042969,4027.9487304688,4135.5126953125,4058.0769042969,4096.6665039063,4038.7180175781,4059.4870605469,4098.9741210938,4056.9230957031,4076.9230957031,4019.3588867188,4002.6923828125,,,
0.6875000000,2,4088.2050781250,4267.5639648438,4071.9230957031,4028.5898437500,4135.2563476563,4045.7692871094,4095.1281738281,4022.0512695313,4041.2819824219,4098.7177734375,4060.5129394531,4073.4614257813,4015.2563476563,4002.4357910156,,,
0.6953125000,2,4090.6411132813,4264.8715820313,4075.8974609375,4060.2563476563,4136.0258789063,4036.4101562500,4094.6154785156,4011.6667480469,4030.1281738281,4098.2050781250,4058.7180175781,4073.8461914063,4012.3076171875,4004.4870605469,,,
0.7031250000,2,4093.8461914063,4270.3847656250,4080.3845214844,4098.3334960938,4136.7949218750,4035.3845214844,4095.7692871094,4011.0256347656,4030.7692871094,4098.2050781250,4053.8461914063,4077.5642089844,4012.1794433594,4007.1794433594,,,
0.7109375000,2,4095.2563476563,4282.4360351563,4081.4101562500,4115.3847656250,4136.6665039063,4042.8205566406,4097.3076171875,4018.8461914063,4041.1538085938,4098.8461914063,4051.2819824219,4082.6923828125,4014.3588867188,4007.6923828125,,,
0.7187500000,2,4094.4870605469,4296.1538085938,4078.9743652344,4103.2050781250,4135.3847656250,4053.7180175781,4098.3334960938,4029.7436523438,4053.7180175781,4100.6411132813,4055.8974609375,4087.8205566406,4017.4357910156,4005.6411132813,,,
0.7265625000,2,4093.3332519531,4306.1538085938,4076.5385742188,4077.8205566406,4133.7177734375,4062.4357910156,4098.2050781250,4037.9487304688,4061.1538085938,4102.8203125000,4067.8205566406,4091.6667480469,4020.1281738281,4003.4614257813,,,
0.7343750000,2,4093.5898437500,4308.0771484375,4078.3332519531,4063.7180175781,4132.6923828125,4065.7692871094,4097.3076171875,4041.0256347656,4060.8974609375,4104.4873046875,4081.5385742188,4093.8461914063,4023.0769042969,4004.2307128906,,,
0.7421875000,2,4096.0258789063,4300.5126953125,4084.7436523438,4072.4357910156,4132.6923828125,4064.1025390625,4096.5385742188,4039.2307128906,4056.0256347656,4105.0000000000,4090.0000000000,4094.6154785156,4028.2050781250,4008.9743652344,,,
0.7500000000,3,4099.4873046875,4287.9487304688,4091.9230957031,4092.9487304688,4133.5898437500,4059.8718261719,4096.7949218750,4034.2307128906,4051.7949218750,4104.6152343750,4088.8461914063,4094.4870605469,4035.8974609375,4015.1281738281,,,
0.7578125000,3,4101.2822265625,4278.9741210938,4094.1025390625,4103.2050781250,4134.8715820313,4056.1538085938,4097.9487304688,4028.9743652344,4051.2819824219,4103.9741210938,4079.8718261719,4094.2307128906,4043.5898437500,4019.3588867188,,,
0.7656250000,3,4099.8715820313,4280.6411132813,4089.2307128906,4092.4357910156,4135.5126953125,4055.7692871094,4099.1025390625,4026.6667480469,4052.9487304688,4103.7177734375,4069.3588867188,4093.9743652344,4047.1794433594,4020.1281738281,,,
0.7734375000,3,4096.5385742188,4291.9228515625,4081.2819824219,4070.2563476563,4134.8715820313,4058.9743652344,4099.4873046875,4028.4614257813,4053.7180175781,4103.9741210938,4063.7180175781,4093.9743652344,4044.6154785156,4018.4614257813,,,
0.7812500000,3,4094.4870605469,4303.5898437500,4076.6667480469,4056.4101562500,4133.7177734375,4063.8461914063,4099.1025390625,4033.4614257813,4051.5385742188,4104.2309570313,4065.5129394531,4093.5898437500,4038.7180175781,4017.5642089844,,,
0.7890625000,3,4096.4101562500,4305.8974609375,4079.2307128906,4062.0512695313,4132.6923828125,4067.5642089844,4098.7177734375,4038.8461914063,4048.2050781250,4104.1025390625,4072.5642089844,4092.8205566406,4034.8718261719,4019.7436523438,,,
0.7968750000,3,4101.7949218750,4296.6665039063,4086.7949218750,4081.4101562500,4132.3076171875,4068.3332519531,4098.9741210938,4041.6667480469,4046.7949218750,4103.5898437500,4079.8718261719,4091.7949218750,4036.5385742188,4025.0000000000,,,
0.8046875000,3,4107.3076171875,4283.2050781250,4093.7180175781,4099.4873046875,4132.8203125000,4065.5129394531,4100.0000000000,4040.8974609375,4049.1025390625,4103.0771484375,4082.3076171875,4091.5385742188,4041.7949218750,4030.5129394531,,,
0.8125000000,3,4109.8715820313,4276.2822265625,4095.8974609375,4106.5385742188,4134.2309570313,4060.1281738281,4101.4101562500,4038.0769042969,4054.1025390625,4102.6923828125,4079.2307128906,4093.0769042969,4045.6411132813,4033.3332519531,,,
0.8203125000,3,4108.8461914063,4281.9228515625,4093.2050781250,4105.2563476563,4135.7690429688,4054.8718261719,4102.0512695313,4037.0512695313,4059.7436523438,4102.8203125000,4074.4870605469,4096.2822265625,4045.2563476563,4033.0769042969,,,
0.8281250000,3,4105.0000000000,4296.6665039063,4088.0769042969,4103.7177734375,4136.5385742188,4052.9487304688,4101.4101562500,4039.6154785156,4064.2307128906,4103.2050781250,4073.0769042969,4099.4873046875,4043.0769042969,4030.8974609375,,,
0.8359375000,3,4099.7436523438,4310.7690429688,4083.0769042969,4105.2563476563,4136.2822265625,4055.6411132813,4100.2563476563,4044.2307128906,4066.0256347656,4103.4614257813,4076.1538085938,4100.6411132813,4042.6923828125,4028.3332519531,,,
0.8437500000,3,4093.8461914063,4314.2309570313,4078.7180175781,4103.4614257813,4134.7436523438,4060.2563476563,4099.7436523438,4046.5385742188,4064.3588867188,4103.4614257813,4079.8718261719,4097.8203125000,4045.0000000000,4025.2563476563,,,
0.8515625000,3,4088.2050781250,4303.5898437500,4074.2307128906,4091.0256347656,4132.5639648438,4061.9230957031,4100.2563476563,4043.8461914063,4059.6154785156,4103.0771484375,4078.9743652344,4091.2819824219,4046.6667480469,4020.1281738281,,,
