Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0781250000,0,3161.2819824219,3158.4614257813,3150.1281738281,3162.0512695313,3154.2307128906,3148.9743652344,3144.6154785156,3146.4101562500,3153.8461914063,3160.3845214844,3215.8974609375,4128.7177734375,3163.8461914063,3167.0512695313,,,
0.0859375000,0,3157.4357910156,3155.2563476563,3168.0769042969,3168.3332519531,3156.0256347656,3149.3588867188,3145.3845214844,3147.0512695313,3152.3076171875,3156.0256347656,3215.6411132813,4132.5639648438,3148.3332519531,3155.6411132813,,,
0.0937500000,0,3160.6411132813,3162.8205566406,3156.0256347656,3165.5129394531,3154.3588867188,3152.1794433594,3145.5129394531,3148.3332519531,3155.6411132813,3158.8461914063,3216.9230957031,4130.5126953125,3160.2563476563,3173.4614257813,,,
0.1015625000,0,3158.4614257813,3157.4357910156,3166.0256347656,3166.0256347656,3157.8205566406,3153.2050781250,3148.0769042969,3148.5898437500,3158.2050781250,3164.3588867188,3215.7692871094,4132.1796875000,3151.0256347656,3161.4101562500,,,
0.1093750000,0,3166.0256347656,3158.2050781250,3162.3076171875,3167.0512695313,3160.0000000000,3156.6667480469,3151.7949218750,3150.5129394531,3159.6154785156,3163.5898437500,3218.5898437500,4132.9487304688,3153.7180175781,3160.8974609375,,,
0.1171875000,0,3167.0512695313,3164.7436523438,3155.0000000000,3168.9743652344,3156.9230957031,3157.5642089844,3148.7180175781,3149.3588867188,3157.0512695313,3163.5898437500,3220.6411132813,4133.2050781250,3166.6667480469,3174.1025390625,,,
0.1250000000,0,3160.6411132813,3163.4614257813,3173.3332519531,3173.0769042969,3160.5129394531,3155.0000000000,3150.2563476563,3151.0256347656,3155.7692871094,3168.5898437500,3216.7949218750,4133.7177734375,3153.2050781250,3160.3845214844,,,
0.1328125000,0,3168.0769042969,3166.2819824219,3159.4870605469,3167.1794433594,3160.5129394531,3154.6154785156,3153.0769042969,3155.6411132813,3159.8718261719,3169.7436523438,3220.7692871094,4133.2050781250,3171.0256347656,3172.6923828125,,,
0.1406250000,0,3165.7692871094,3163.0769042969,3170.0000000000,3171.1538085938,3159.8718261719,3158.0769042969,3150.7692871094,3153.7180175781,3158.8461914063,3167.5642089844,3223.0769042969,4136.4101562500,3164.3588867188,3167.9487304688,,,
0.1484375000,0,3168.0769042969,3166.1538085938,3171.1538085938,3170.6411132813,3162.0512695313,3159.7436523438,3153.5898437500,3154.2307128906,3161.0256347656,3170.6411132813,3222.5642089844,4135.0000000000,3159.2307128906,3168.9743652344,,,
